"","hotspot","mode","P1","P2","P3","P4"
"1","1","N",120,120,120,82
"2","10","G",20,13,2,14
"3","2","N",120,120,73,120
"4","4","G",53,20,24,15
"5","6","N",120,120,120,70
"6","7","G",41,40,20,28
"7","8","N",120,120,120,120
"8","8","G",11,14,24,9
"9","9","N",120,120,13,4
"10","3","G",13,1,8,1
"11","10","N",120,120,71,120
"12","5","G",14,16,9,9
"13","7","N",120,120,120,14
"14","2","G",14,12,29,15
"15","5","N",120,120,120,47
"16","6","G",16,18,16,15
"17","4","N",120,120,120,120
"18","9","G",56,35,9,9
"19","3","N",120,98,59,118
"20","1","G",31,7,10,6
